Folder	File	Author	Title	Genre	Updated	Lang	Series	Annotation	Keywords	PublishYear
f.usr-505101-507580.7z	Kristofer_Nattoll_Graduation_Day.epub	Nuttall,Christopher,:	Graduation Day (Schooled in Magic Book 14)	magicians:prose_magic:alternate world:fantasy_all_root:Young Adult:sorcerers:	2026-09-01	en				
f.usr-507581-510525.7z	Andrey_Kruz_Dva_bileta_tuda..._(fragment).epub	Андрей Царев,Андрей,Круз,:	Два билета туда	Земля лишних:	2026-09-01	ru				
f.usr-507581-510525.7z	Brayan_Smit_Zombi-rok-n-rolshchicy_iz_ispravitelnoy_shkoly.epub	Смит,Брайан,:	Зомби-рок-н-рольщицы из исправительной школы	sf_horror:	2026-09-01	ru				
f.usr-507581-510525.7z	Edvard_Li_The_Dunwich_Romance.epub	Lee,Edward,:	The Dunwich Romance		2026-09-01	en				
f.usr-507581-510525.7z	Heleg_Hart_Dvuhgolovaya_himera.fb2	,Хелег Харт,:	Двухголовая химера	adventure_fantasy:Эпическое фэнтези:	2018-01-14	ru		"""Если твои решения и поступки приводят тебя на край гибели, что-то ты делаешь не так"". Именно к такому выводу приходит Энормис после того, как попытки раскрыть тайны прошлого едва не свели его в могилу. А на горизонте маячит новая угроза - пока неясная, но уже ощутимая. Некто могущественный имеет планы на Нирион, и они идут в разрез с представлениями Энормиса о счастливом будущем. Его подруга пропала, а таинственное Отражение из снов продолжает загадывать загадки. Чтобы во всем этом разобраться, человеку-без-имени снова придется сунуть голову в пасть вечноголодной химеры. Да и от прошлого так просто не отмахнуться... Предыдущая книга: Неприкаянный"		
f.usr-507581-510525.7z	Mihail_Aleksandrovich_Atamanov_iskazhayushchie_realnost_2.epub	Атаманов,Михаил,:	Искажающие реальность-2		2026-09-01	ru				
f.usr-507581-510525.7z	Tomas_Ligotti_The_Conspiracy_Against_the_Human_Race__A_Contrivance_of_Horror.epub	Thomas,Ligotti,,:	The Conspiracy against the Human Race: A Contrivance of Horror	schopenhauer:pessimism:antinatalism:nightmare of being:Horror:sci_philosophy:better off dead:nihilism:dark:materialism:religion_budda:malignantly useless:nihilist:human condition:zapffe:realism:lovecraft:	2026-09-01	en				
f.usr-510526-513033.7z	Bulyga__Zaklyuchennyy_no12.fb2	,Богай Олег Дмитриевич,:	Булыга: Заключенный №12	ЛитРПГ:Боевое фэнтези:	2018-02-25	ru		СТАНДАРТНОЕ ЛИТРПГ. Главный герой попадает в тюрьму в век высоко развитых технологий и выбирает крайне не популярную расу, пытается выкарабкаться из виртуальной тюрьмы и спасти свою сестру от неведомой напасти. Удастся ли ему это?! Все ответы в книге... Вторая книга: https://litnet.com/account/books/view?id=54464		
f.usr-510526-513033.7z	Uilyam_Mak-Nil_Plagues_and_Peoples.epub	McNeill,William,:	Plagues and Peoples		2026-09-01	en				
f.usr-513034-516388.7z	Alaster_Reynolds_Elysium_Fire.epub	Reynolds,Alastair,:	Elysium Fire	sf_all_root:sf:Action & Adventure:sf_all_root:sf:Alien Contact:	2026-09-01	en				
f.usr-529887-532451.7z	530758.fb2	Линдсей,Джоанна,:	Любовь не ждет	love_history:	2018-11-01	ru		<p>Две семьи, враждующие с давних времен, наконец решили примириться. И разумеется, самый удачный ход – поженить своих детей, Тиффани и Хантера. Правда, невеста в силу определенных обстоятельств никогда не видела жениха. Конечно, никто не собирается принуждать Тиффани, если ей не понравится Хантер. Волей случая девушка попадает на его ранчо и выдает себя за экономку. Хантер также не горит желанием жениться на изнеженной, по его понятиям, горожанке. Он влюбляется в молоденькую домоправительницу, не подозревая, что это и есть его нареченная…</p>		2014
f.usr-529887-532451.7z	530759.fb2	Симмонс,Дебора,:	Рыцарь	love_history:	2018-11-01	ru	Сборник Клятва рыцаря#			
